2018-10-16 12:14:56.225 [thome.event.ExtensionEvent] - Extension 'package-expert' has been installed.
2018-10-16 12:15:15.271 [thome.event.ExtensionEvent] - Extension 'misc-restdocs' has been installed.
2018-10-16 12:15:15.274 [thome.event.ExtensionEvent] - Extension 'transformation-javascript' has been installed.
2018-10-16 12:15:15.274 [thome.event.ExtensionEvent] - Extension 'ui-habpanel' has been installed.
2018-10-16 12:15:15.281 [thome.event.ExtensionEvent] - Extension 'transformation-regex' has been installed.
2018-10-16 12:15:15.289 [thome.event.ExtensionEvent] - Extension 'transformation-jsonpath' has been installed.
2018-10-16 12:15:15.289 [thome.event.ExtensionEvent] - Extension 'transformation-xpath' has been installed.
2018-10-16 12:15:15.294 [thome.event.ExtensionEvent] - Extension 'ui-basic' has been installed.
2018-10-16 12:15:15.296 [thome.event.ExtensionEvent] - Extension 'transformation-map' has been installed.
2018-10-16 12:15:15.297 [thome.event.ExtensionEvent] - Extension 'ui-classic' has been installed.
2018-10-16 12:15:15.298 [thome.event.ExtensionEvent] - Extension 'ui-habmin' has been installed.
2018-10-16 12:15:15.298 [thome.event.ExtensionEvent] - Extension 'transformation-xslt' has been installed.
2018-10-16 12:15:15.298 [thome.event.ExtensionEvent] - Extension 'transformation-exec' has been installed.
2018-10-16 12:15:15.299 [thome.event.ExtensionEvent] - Extension 'ui-paper' has been installed.
2018-10-16 12:15:15.300 [thome.event.ExtensionEvent] - Extension 'transformation-scale' has been installed.
2018-10-16 12:17:41.209 [thome.event.ExtensionEvent] - Extension 'binding-mqtt1' has been installed.
2018-10-16 12:18:44.230 [.ItemChannelLinkAddedEvent] - Link 'Date-ntp:ntp:demo:dateTime' has been added.
2018-10-16 12:18:44.246 [.ItemChannelLinkAddedEvent] - Link 'CurrTime-ntp:ntp:demo:dateTime' has been added.
2018-10-16 12:19:38.778 [vent.ItemStateChangedEvent] - CO2Mqtt changed from NULL to 605
2018-10-16 12:19:38.793 [vent.ItemStateChangedEvent] - TempMqtt changed from NULL to 27.4
2018-10-16 12:19:38.820 [vent.ItemStateChangedEvent] - HumidMqtt changed from NULL to 33.8
2018-10-16 12:20:27.239 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 605 to 625
2018-10-16 12:21:28.116 [thome.event.ExtensionEvent] - Extension 'binding-ntp' has been installed.
2018-10-16 12:21:28.260 [hingStatusInfoChangedEvent] - 'ntp:ntp:demo' changed from UNINITIALIZED to INITIALIZING
2018-10-16 12:21:28.419 [hingStatusInfoChangedEvent] - 'ntp:ntp:demo' changed from INITIALIZING to ONLINE
2018-10-16 12:21:28.443 [vent.ItemStateChangedEvent] - Date changed from NULL to 2018-10-16T12:21:28.437+0200
2018-10-16 12:21:28.451 [vent.ItemStateChangedEvent] - CurrTime changed from NULL to 2018-10-16T12:21:28.437+0200
2018-10-16 12:21:28.456 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:21:28.437+0200 to 2018-10-16T12:21:28.456+0200
2018-10-16 12:21:28.461 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:21:28.437+0200 to 2018-10-16T12:21:28.456+0200
2018-10-16 12:21:29.108 [home.event.InboxAddedEvent] - Discovery Result with UID 'ntp:ntp:local' has been added.
2018-10-16 12:21:35.796 [vent.ItemStateChangedEvent] - TempMqtt changed from 27.4 to 27.7
2018-10-16 12:21:57.495 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 625 to 647
2018-10-16 12:22:22.404 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 647 to 667
2018-10-16 12:22:28.450 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:21:28.456+0200 to 2018-10-16T12:22:28.458+0200
2018-10-16 12:22:28.453 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:21:28.456+0200 to 2018-10-16T12:22:28.458+0200
2018-10-16 12:22:48.390 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 667 to 690
2018-10-16 12:23:18.490 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 690 to 712
2018-10-16 12:23:28.463 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:22:28.458+0200 to 2018-10-16T12:23:28.460+0200
2018-10-16 12:23:28.467 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:22:28.458+0200 to 2018-10-16T12:23:28.460+0200
2018-10-16 12:24:03.748 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 712 to 732
2018-10-16 12:24:32.085 [.ItemChannelLinkAddedEvent] - Link 'CurrTime-ntp:ntp:demo:dateTime' has been added.
2018-10-16 12:24:32.086 [.ItemChannelLinkAddedEvent] - Link 'Date-ntp:ntp:demo:dateTime' has been added.
2018-10-16 12:24:33.573 [vent.ItemStateChangedEvent] - CO2Mqtt changed from NULL to 732
2018-10-16 12:24:33.610 [vent.ItemStateChangedEvent] - TempMqtt changed from NULL to 27.7
2018-10-16 12:24:33.625 [vent.ItemStateChangedEvent] - HumidMqtt changed from NULL to 32.7
2018-10-16 12:24:33.741 [hingStatusInfoChangedEvent] - 'ntp:ntp:demo' changed from UNINITIALIZED to INITIALIZING
2018-10-16 12:24:33.905 [hingStatusInfoChangedEvent] - 'ntp:ntp:demo' changed from INITIALIZING to ONLINE
2018-10-16 12:24:33.920 [vent.ItemStateChangedEvent] - CurrTime changed from NULL to 2018-10-16T12:24:33.934+0200
2018-10-16 12:24:33.922 [vent.ItemStateChangedEvent] - Date changed from NULL to 2018-10-16T12:24:33.934+0200
2018-10-16 12:24:33.932 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:24:33.934+0200 to 2018-10-16T12:24:33.955+0200
2018-10-16 12:24:33.936 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:24:33.934+0200 to 2018-10-16T12:24:33.955+0200
2018-10-16 12:24:48.396 [vent.ItemStateChangedEvent] - TempMqtt changed from 27.7 to 28.1
2018-10-16 12:25:09.997 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 732 to 752
2018-10-16 12:25:33.933 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:24:33.955+0200 to 2018-10-16T12:25:33.945+0200
2018-10-16 12:25:33.939 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:24:33.955+0200 to 2018-10-16T12:25:33.945+0200
2018-10-16 12:26:14.711 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 752 to 772
2018-10-16 12:26:33.942 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:25:33.945+0200 to 2018-10-16T12:26:33.949+0200
2018-10-16 12:26:33.946 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T12:25:33.945+0200 to 2018-10-16T12:26:33.949+0200
2018-10-16 12:26:44.749 [vent.ItemStateChangedEvent] - CO2Mqtt changed from 772 to 794
2018-10-16 12:27:33.951 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T12:26:33.949+0200 to 2018-10-16T12:27:33.953+0200
